utterances,IOB Slot tags
what was titanic 's budget,O O B_movie O O
what was the budget for courageous,O O O O O B_movie
what was the budget for facing the giants,O O O O O B_movie I_movie I_movie
budget of heroine,O O B_movie
finding the buget of heroine,O O O O B_movie
looking of movie heroine 's budget,O O O B_movie O O
what is the buget of movie heroine,O O O O O O B_movie
how much did it cost to make jurassic park,O O O O O O O B_movie I_movie
what was the budget for jurassic park,O O O O O B_movie I_movie
how much did james cameron have to spend to make avatar,O O O B_director I_director O O O O O B_movie
avatar must have cost a bundle,B_movie O O O O O
did the avatar movie have a budget for spending,O O B_movie O O O O O O
get me info on the budget for avatar,O O O O O O O B_movie
how much did it cost to make avatar,O O O O O O O B_movie
how much did the studio spend to make avatar,O O O O O O O O B_movie
how much money was budgeted for the avatar movie,O O O O O O O B_movie O
i need to know the budget of the movie avatar,O O O O O O O O O B_movie
i want to know the avatar 's budget,O O O O O O B_movie O
list the budget for avatar,O O O O B_movie
show me what was the budget of the movie avatar,O O O O O O O O O B_movie
what did the movie avatar cost to make,O O O O B_movie O O O
what was avatar 's budget,O O O B_movie O
what was the budget for avatar,O O O O O B_movie
what was the budget for avatar,O O O O O B_movie
what was the budget for avatar,O O O O O B_movie
what was the budget for the movie avatar,O O O O O O O B_movie
what was the budget of the movie avatar,O O O O O O O B_movie
how much did the movie avatar cost,O O O O O B_movie O
how much money was spent on batman,O O O O O O B_movie
tell me the budget for the movie batman,O O O O O O O B_movie
how much did batman begins cost,O O O B_movie I_movie O
how much was it to make the film batman begins,O O O O O O O O B_movie I_movie
budget for the avengers,O O B_movie I_movie
how much did it take to make the avengers,O O O O O O O B_movie I_movie
what was the budget for the avengers,O O O O O B_movie I_movie
what was the budget for citizen kane,O O O O O B_movie I_movie
find out the budget of cujo,O O O O O B_movie
budget for gone with the wind,O O B_movie I_movie I_movie I_movie
gone with the wind 's budget information please,B_movie I_movie I_movie I_movie O O O O
gone with the wind 's budget,B_movie I_movie I_movie I_movie O O
show me the budget for the movie,O O O O O O O
budget for the hulk,O O O B_movie
budget request for my big fat greek wedding,O O O B_movie I_movie I_movie I_movie I_movie
find the budget of my big fat greek wedding,O O O O B_movie I_movie I_movie I_movie I_movie
how much did my big fat greek wedding cost,O O O B_movie I_movie I_movie I_movie I_movie O
what was the budget of my big fat greek wedding,O O O O O B_movie I_movie I_movie I_movie I_movie
what was the budget for old school,O O O O O B_movie I_movie
what was the bourne identity 's budget,O O B_movie I_movie I_movie O O
how much did it cost to produce the deer hunter,O O O O O O O B_movie I_movie I_movie
provide the cost for producing the deer hunter,O O O O O B_movie I_movie I_movie
will you show the cost to produce the deer hunter,O O O O O O O B_movie I_movie I_movie
what was the budget for the hobbit,O O O O O B_movie I_movie
can i see what the lion king 's budget was,O O O O B_movie I_movie I_movie O O O
show me the lion king 's budget,O O B_movie I_movie I_movie O O
what was the budget for passion of the christ,O O O O O B_movie I_movie I_movie I_movie
what was the budget for top gun,O O O O O B_movie I_movie
what was top gun 's budget,O O B_movie I_movie O O
who does ellen degeneres play in finding nemo,O O O O O O B_movie I_movie
what character did tom hanks play in apollo thirteen,O O O O O O O B_movie I_movie
lion king characters,B_movie I_movie O
what character did will smith play in hitch,O O O O O O O B_movie
what role did sarah polley play in go,O O O O O O O B_movie
what was kevin james role in hitch,O O O O O O B_movie
who directed the music in gone with the wind,O O O O O B_movie I_movie I_movie I_movie
show me the music composer for the movie,O O O O O O O O
who directed the musical score in barfi,O O O O O O B_movie
how many films did ed harris do with tom hanks,O O O O B_person I_person O O B_person I_person
how many movies were released on nine twenty eight twelve,O O O O O O B_release_year I_release_year I_release_year I_release_year
how many movies were filmed in asia,O O O O O O B_location
how many films directed by barbra streisand have been shot in the czech republic,O O O O O B_director I_director O O O O O B_country I_country
how many movies has albert ruddy produced,O O O O B_producer I_producer O
how many movies has lionsgate done,O O O O B_producer O
how many movies did richard lester direct,O O O O B_director I_director O
how many films has taye diggs been in,O O O O B_cast I_cast O O
how many movies has ray stark produced,O O O O B_producer I_producer O
how many producers did the movie the hitch have,O O O O O O O B_movie O
how many movies has charles vidor directed,O O O O B_director I_director O
how many movies has kristen stewart made,O O O O B_person I_person O
i wonder how many movies alfred hitchcock was in that he directed,O O O O O B_director I_director O O O O O
how many movies has steven spielberg directed,O O O O B_director I_director O
how many films did robert wise direct,O O O O B_director I_director O
how many movies has tom cruise starred in,O O O O B_cast I_cast O O
how many movies did scorsese direct,O O O O B_director O
how many movies has angelina jolie been in,O O O O B_cast I_cast O O
how many movies did victor fleming direct,O O O O B_director I_director O
how many movies has woody allen directed,O O O O B_director I_director O
how many movies has darla anderson produced,O O O O B_producer I_producer O
how many films did alfred hitchcock direct,O O O O B_director I_director O
how many movies did hitchcock direct,O O O O B_director O
how many movies has tom hanks starred in,O O O O B_cast I_cast O O
how many woody allen movies starred diane keaton,O O B_director I_director O O B_cast I_cast
how many films has ed harris starred in,O O O O B_cast I_cast O O
how many movies are made in the united states,O O O O O O O B_country I_country
where was footnote made,O O B_movie O
what country did the flowers of war come from,O O O B_movie I_movie I_movie I_movie O O
country of le havre,O O B_movie I_movie
what country does the movie kati patang comes from,O O O O O B_movie I_movie O O
show me the name of the country for the movie thoda pyaar thoda magic,O O O O O O O O O O B_movie I_movie I_movie I_movie
can you tell me which country the movie kati patang comes from,O O O O O O O O B_movie I_movie O O
i need to know the name of the country to which the movie kati patang belongs to,O O O O O O O O O O O O O B_movie I_movie O O
show me the name of the country from which the movie kati patang comes,O O O O O O O O O O O B_movie I_movie O
can you tell me which country does thoda pyaar thoda magic belongs to,O O O O O O O B_movie I_movie I_movie I_movie O O
give me the name of the country for the movie thoda pyaar thoda magic,O O O O O O O O O O B_movie I_movie I_movie I_movie
i need to know which country does the movie thoda pyaar thoda magic belongs to,O O O O O O O O O B_movie I_movie I_movie I_movie O O
country that made a separation,O O O B_movie I_movie
what country is godzilla,O O O B_movie
country of weekend,O O B_movie
i would like to search for what country cell 21 is from,O O O O O O O O B_movie I_movie O O
look for what country cell 21 is from,O O O O B_movie I_movie O O
what country is cell 21 from,O O O B_movie I_movie O
what country did black beauty come from,O O O B_movie I_movie O O
i need to know where trainspotting comes from,O O O O O B_movie O O
tell me where is trainspotting from,O O O O B_movie O
which country made elizabeth,O O O B_movie
where was trainspotting made,O O B_movie O
what country did shindler 's list come from,O O O B_movie I_movie I_movie O O
which country is this movie from,O O O O O O
show me where black swan is from,O O O B_movie I_movie O O
where was black swan produced,O O B_movie I_movie O
what is the origin of casa blanca,O O O O O B_movie I_movie
origin of gone with the wind,O O B_movie I_movie I_movie I_movie
lion king filmed at,B_movie I_movie O O
where was rocky four filmed,O O B_movie I_movie O
origin of spanglish,O O B_movie
movie made where,O O O
what country is movie from,O O O O O
in what country was movie made,O O O O O O
where was movie made,O O O O
is this a foreign film,O O O O O
is this a foreign film,O O O O O
what country was kinky boots made in,O O O B_movie I_movie O O
what country is outside the law from,O O O B_movie I_movie I_movie O
what country produced the movie mirror,O O O O O B_movie
what country does mirror come from,O O O B_movie O O
what country does les miserable come from,O O O B_movie I_movie O O
what is the origin country of mirror,O O O O O O B_movie
in what country was the movie mirror produced,O O O O O O B_movie O
where was the movie mirror produced,O O O O B_movie O
when can i see top gun,O O O O B_movie I_movie
when was top gun released,O O B_movie I_movie O
when does top gun come out,O O B_movie I_movie O O
when the movie top gun was released,O O O B_movie I_movie O O
when did richard lester start directing,O O B_director I_director O O
when was in july released,O O B_movie I_movie O
give me the release date for the little mermaid,O O B_movie O O O B_movie I_movie I_movie
what date was spider released,O O O B_movie O
can you tell me when 24 will be released,O O O O O B_movie O O O
do you know when 24 will be released,O O O O B_movie O O O
i want to know when 24 will be released,O O O O O B_movie O O O
when will 24 be released,O O B_movie O O
how will i know when the movie gone with the wind will be released,O O O O O O O B_movie I_movie I_movie I_movie O O O
please tell me when was the movie gone with the wind released,O O O O O O O B_movie I_movie I_movie I_movie O
please tell me when will the movie gone with the wind will be released,O O O O O O O B_movie I_movie I_movie I_movie O O O
when will the movie gone with the wind be released,O O O O B_movie I_movie I_movie I_movie O O
do you know when this movie is available,O O O O O O O O
what year was the movie released,O O O O O O
which decade did the movie come out,O O O O O O O
which month was the movie released,O O O O O O
release day for the movie,O O O O O
may i have the date of release for this movie,O O O O O O O O O O
release date for the vow,O O O B_movie I_movie
when was black beauty released,O O B_movie I_movie O
titanic release date,B_movie O O
when did lionsgate start making movies,O O B_producer O O O
search when the birds will be released,O O B_movie I_movie O O O
what year did spielberg start directing movies,O O O B_director O O O
the godfather came out when,B_movie I_movie O O O
when can i see the great gatsby,O O O O B_movie I_movie I_movie
when will the great gatsby be out,O O B_movie I_movie I_movie O O
when will the great gatsby be released,O O B_movie I_movie I_movie O O
when will jaws be released,O O B_movie O O
when will the hobbit be released,O O B_movie I_movie O O
what year was the hobbit relased,O O O B_movie I_movie O
what year did the movie grease open,O O O O O B_movie O
movie little women release date is when,O B_movie I_movie O O O O
release date for little women,O O O B_movie I_movie
when was the movie title little women released,O O O O O B_movie I_movie O
can you please tell me when was karate kid released,O O O O O O O B_movie I_movie O
karate kid release date,B_movie I_movie O O
find release date for karate kid,O O O O B_movie I_movie
when did dirty dancing come out,O O B_movie I_movie O O
when was dirty dancing released,O O B_movie I_movie O
what year was dirty dancing released,O O O B_movie I_movie O
when was dirty dancing released,O O B_movie I_movie O
when was overboard released,O O B_movie O
what year did moon over parador come out,O O O B_movie I_movie I_movie O O
release date for batman,O O O B_movie
when did jurassic park get released,O O B_movie I_movie O O
lion king release yr,B_movie I_movie O O
when was while you were sleeping released,O O B_movie I_movie I_movie I_movie O
what year was ed harris in in apollo thirteen,O O O O O O O B_movie I_movie
what was the date when welcome to the dollhouse was released,O O O O O B_movie I_movie I_movie I_movie O O
release date for toy story,O O O B_movie I_movie
what was the relase date for men in black,O O O O O O B_movie I_movie I_movie
when was life is beautiful released,O O B_movie I_movie I_movie O
when was life is beautiful released,O O B_movie I_movie I_movie O
when life is beautiful was released,O B_movie I_movie I_movie O O
what is possessed realese date,O O B_movie O O
look up the release date of resident evil,O O O O O O B_movie I_movie
what is resident evil 's release date,O O B_movie I_movie O O O
when did resident evil come out,O O B_movie I_movie O O
when did resident evil debut in theaters,O O B_movie I_movie O O O
when did theaters show resident evil,O O O O B_movie I_movie
when was the release date for the movie resident evil,O O O O O O O O B_movie I_movie
when was resident evil first in theatres,O O B_movie I_movie O O O
when was the scooby do movie released,O O O B_movie I_movie O O
when was finding nemo released,O O B_movie I_movie O
release date for finding nemo,O O O B_movie I_movie
when was finding nemo released,O O B_movie I_movie O
when was finding nemo released,O O B_movie I_movie O
in which date varsham movie released,O O O B_movie O O
in which month varsham movie released,O O O B_movie O O
release twilight,O B_movie
frankenstein release,B_movie O
frankenstein release date,B_movie O O
when will the movie frankenstein be released,O O O O B_movie O O
when was hum tum relesed,O O B_movie I_movie O
i want to know when step up was released,O O O O O B_movie I_movie O O
i would like to know when the movie step up was released,O O O O O O O O B_movie I_movie O O
when was step up released,O O B_movie I_movie O
when was the movie step up released,O O O O B_movie I_movie O
when did happiness get released,O O B_movie O O
when will paranormal activity be released,O O B_movie I_movie O O
avatar realease date,B_movie O O
avatar release,B_movie O
what was the release date for avatar,O O O O O O B_movie
when did the movie avatar get released,O O O O B_movie O O
when avatar released,O B_movie O
when was avatar released,O O B_movie O
i need to know when was the movie avatar released,O O O O O O O O B_movie O
what day avatar released,O O B_movie O
what was the release date of the movie avatar,O O O O O O O O B_movie
when was avatar released,O O B_movie O
what date was avatar released,O O O B_movie O
when was black swan in the theatre,O O B_movie I_movie O O O
when was black swan released,O O B_movie I_movie O
how long has black swan been out,O O O B_movie I_movie O O
find release date of the help,O O O O B_movie I_movie
when can the help be released,O O B_movie I_movie O O
tell me when compliance came out,O O O B_movie O O
when is sinister hitting theaters,O O B_movie O O
release date for the hunger games,O O O B_movie I_movie I_movie
when was the first hunger games shown,O O B_movie O I_movie I_movie O
when was avengers released,O O B_movie O
when was lawless released,O O B_movie O
release date of snow white and the huntsman,O O O B_movie I_movie I_movie I_movie I_movie
release date for amazing spiderman,O O O B_movie I_movie
when will the next amazing spiderman come out,O O O O B_movie I_movie O O
when was the amazing spiderman released in the movie theatres,O O B_movie I_movie I_movie O O B_movie O O
search for the release date of vulgaria,O O O O O O B_movie
when did vulgaria come out,O O B_movie O O
when was the movie vulgaria released,O O O O B_movie O
what date did vulgaria open,O O O B_movie O
when did dredd come out,O O B_movie O O
what year was the godfather released,O O O O B_movie O
release date for the watch,O O O B_movie I_movie
when was paranorman be released,O O B_movie O O
what year was the campaign released,O O O B_movie I_movie O
when was the campaign released,O O B_movie I_movie O
when was expendables 2 released,O O B_movie I_movie O
when is the release date of resident evil: retribution,O O O O O O B_movie I_movie I_movie
what is the calendar date release for looper,O O O O O O O B_movie
i would like to know the release date of the movie barfi,O O O O O O O O O O O B_movie
i need to know the release date of the movie barfi,O O O O O O O O O O B_movie
what is the release date of the movie barfi,O O O O O O O O B_movie
show me the release date of the movie barfi,O O O O O O O O B_movie
find the release date for heroine,O O O O O B_movie
please find the release date of heroine,O O O O O O B_movie
what is the release date of heroine,O O O O O O B_movie
when was herione released,O O B_movie O
when was the movie heroine released,O O O O B_movie O
when was house at the end of the street released,O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie O
when house at the end of the street showing,O B_movie I_movie I_movie I_movie I_movie I_movie I_movie O
what is the release date for house at the end of the street,O O O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
is iron man 3 in theatres yet,O B_movie I_movie I_movie O O O
when is iron man 3 coming out,O O B_movie I_movie I_movie O O
when will iron man 3 be out in movie theatres,O O B_movie I_movie I_movie O O O O O
show me movies listed by directors,O O O O O O
director for gone with the wind,O O B_movie I_movie I_movie I_movie
show me the directors of gone with the wind,O O O O O B_movie I_movie I_movie I_movie
who are the directors of gone with the wind,O O O O O B_movie I_movie I_movie I_movie
who directed gone with the wind,O O B_movie I_movie I_movie I_movie
who directed gone with the wind,O O B_movie I_movie I_movie I_movie
who directed gone with the wind,O O B_movie I_movie I_movie I_movie
who directed the movie,O O I_movie O
show me details about the directors of gone with the wind,O O O O O O O B_movie I_movie I_movie I_movie
who directed black swan,O O B_movie I_movie
who 's the director of pi,O O O O O B_movie
who made batman the dark knight,O O O B_movie I_movie I_movie
tell me about inception 's director,O O O B_movie O O
show me the director of the film the dark knight,O O O O O O O B_movie I_movie I_movie
tell me the director of the film the dark knight,O O O O O O O B_movie I_movie I_movie
who directed the movie the dark knight,O O O O B_movie I_movie I_movie
who filmed the dark knight,O O B_movie I_movie I_movie
who is the person that directed the film the dark knight,O O O O O O O O B_movie I_movie I_movie
which director directed a hard day 's night,O O O B_movie I_movie I_movie I_movie I_movie
who directed a hard day 's night,O O B_movie I_movie I_movie I_movie I_movie
who directed a hard day 's night,O O B_movie I_movie I_movie I_movie I_movie
who directed hard days night,O O B_movie I_movie I_movie
who directed cast away,O O B_movie I_movie
show me the director of forest gump,O O O O O B_movie I_movie
who was the director of forest gump,O O O O O B_movie I_movie
who is director of sleepless in seattle,O O O O B_movie I_movie I_movie
who directed the movie opening night,O O O O B_movie I_movie
who directed the movie men in black 3,O O O O B_movie I_movie I_movie I_movie
who was the director in men in black 3,O O O O O B_movie I_movie I_movie I_movie
can you tell me the director of the titanic,O O O O O O O O B_movie
director for titanic,O O B_movie
who was the director of the movie titanic,O O O O O O O B_movie
display director of the movie avengers,O O O O O B_movie
director of the avengers,O O B_movie I_movie
search director of the exorcist,O O O B_movie I_movie
find the director for the social network,O O O O B_movie I_movie I_movie
find the director of big,O O O O B_movie
who is the director of ghost busters,O O O O O B_movie I_movie
find the director for pretty woman,O O O O B_movie I_movie
who made godzilla,O O B_movie
rocky director,B_movie O
who directed hope floats,O O B_movie I_movie
avatar was directed by whom,B_movie O O O O
director of avatar,O O B_movie
which director directed avatar,O O O B_movie
who did avatar,O O B_movie
who directed avatar,O O B_movie
who directed avatar,O O B_movie
who directed avatar,O O B_movie
who directed the film avatar,O O O O B_movie
who directed the movie called avatar,O O O O O B_movie
who made the movie avatar,O O O O B_movie
who was the director of the movie avatar,O O O O O O O B_movie
who directed star wars four,O O B_movie I_movie I_movie
who directed the movie in july,O O O O B_movie I_movie
who made steel magnolias,O O B_movie I_movie
the silence of the lambs director,I_movie I_movie I_movie I_movie I_movie O
director of the incredibles,O O B_movie I_movie
gilda director,B_movie O
list gilda director,O B_movie O
search director for gilda,O O O B_movie
search gilda director,O B_movie O
the movie gilda director,O O B_movie O
who directed gilda,O O B_movie
who directed gilda,O O B_movie
who directed gilda,O O B_movie
who directed the movie gilda,O O O O B_movie
goodfellas director,B_movie O
who made field of dreams,O O B_movie I_movie I_movie
who made the movie field of dreams,O O O O B_movie I_movie I_movie
who made the movie field of dreams possible,O O O O B_movie I_movie I_movie O
can i please see more details for the director of finding nemo,O O O O O O O O O O B_movie I_movie
find the director for finding nemo,O O O O B_movie I_movie
i want to know the director of finding nemo,O O O O O O O B_movie I_movie
i want to know who directed finding nemo,O O O O O O B_movie I_movie
show me finding nemo director,O O B_movie I_movie O
who directed finding nemo,O O B_movie I_movie
who directed finding nemo,O O B_movie I_movie
who directed finding nemo,O O B_movie I_movie
who directed finding nemo,O O B_movie I_movie
who directed finding nemo,O O B_movie I_movie
who directed finding nemo,O O B_movie I_movie
who was the director of the film finding nemo,O O O O O O O B_movie I_movie
who directed hitch,O O B_movie
who made hitch,O O B_movie
director for anne of green gables,O O B_movie I_movie I_movie I_movie
search director of the movie platoon,O O O O O B_movie
who was the director of movie varsham,O O O O O O B_movie
who directed grizzly man,O O B_movie I_movie
who directed to kill a mockingbird,O O B_movie I_movie I_movie I_movie
who was the director of the movie e t,O O O O O O O B_movie I_movie
find the director for et,O O O O B_movie
who made et,O O B_movie
who was the director of the movie jaws,O O O O O O O B_movie
look up info about jurassic park 's director,O O O O B_movie I_movie O O
who directed jurassic park,O O B_movie I_movie
who directed jurassic park,O O B_movie I_movie
who directed jurassic park,O O B_movie I_movie
old man director,B_movie I_movie O
can you find out who directed the movie batman,O O O O O O O O B_movie
can you tell me who is the director of batman,O O O O O O O O O B_movie
who directed batman,O O B_movie
